Pregunta,Asignatura,Tema,Tema_nombre,Respuesta_correcta
P1,Habilidad matemática,HM.1,"Sucesiones — aritmética",C
P2,Habilidad matemática,HM.2,"Sucesiones — figuras (puntos)",C
P3,Habilidad matemática,HM.3,"Aritmética — fracciones de dinero",C
P4,Habilidad matemática,HM.4,"Sucesiones — cuadrados de números pares",C
P5,Habilidad matemática,HM.5,"Sucesiones — distribución circular",A
P6,Habilidad matemática,HM.6,"Sucesiones — pares (top y abajo)",A
P7,Habilidad matemática,HM.7,"Sucesiones — aritmética con fracciones",C
P8,Habilidad matemática,HM.8,"Velocidad y tiempo",D
P9,Habilidad matemática,HM.9,"Sucesiones — series intercaladas",D
P10,Habilidad matemática,HM.10,"Conteo — cuadrados en figura",A
P11,Habilidad matemática,HM.11,"Aritmética — números consecutivos",A
P12,Habilidad matemática,HM.12,"Razonamiento espacial — vistas",A
P13,Habilidad matemática,HM.13,"Sucesiones — diferencias crecientes",B
P14,Habilidad matemática,HM.14,"Estadística — medidas de tendencia central",C
P15,Habilidad matemática,HM.15,"Razonamiento espacial — conteo de bloques",B
P16,Habilidad matemática,HM.16,"Polígonos — ángulos internos",D
P17,Matemáticas,M.1,"Porcentaje",C
P18,Matemáticas,M.2,"Fracciones — vocabulario",C
P19,Matemáticas,M.3,"Proporciones",A
P20,Matemáticas,M.4,"Ecuaciones — cuadráticas incompletas",C
P21,Matemáticas,M.5,"Engranes — vueltas",C
P22,Matemáticas,M.6,"Geometría — ángulos en triángulo",D
P23,Matemáticas,M.7,"Productos notables — binomio al cuadrado",D
P24,Matemáticas,M.8,"Álgebra — expresiones",B
P25,Matemáticas,M.9,"Geometría — Pitágoras (frente de casa)",D
P26,Matemáticas,M.10,"Geometría — área (frente de casa)",D
P27,Matemáticas,M.11,"Estadística — tendencia central",B
P28,Matemáticas,1.4.bank,"banco",D
P29,Ciencias II (Física),F.1,"Cambios de fase",D
P30,Ciencias II (Física),F.2,"Transmisión de calor",A
P31,Ciencias II (Física),F.3,"Cinemática — aceleración",C
P32,Ciencias II (Física),F.4,"Ondas — componentes",A
P33,Ciencias II (Física),F.5,"Movimiento ondulatorio — ejemplos",A
P34,Ciencias II (Física),F.6,"Tercera ley de Newton — par acción-reacción",D
P35,Ciencias II (Física),F.7,"Inercia — primera ley de Newton",C
P36,Ciencias II (Física),F.8,"Energía — tipos y características",D
P37,Ciencias II (Física),F.9,"Unidades — longitud",B
P38,Ciencias II (Física),F.10,"Gráfica v vs t — velocidad constante",C
P39,Ciencias II (Física),F.11,"Gráfica v vs t — aceleración",A
P40,Ciencias II (Física),1.2.bank,"Cinemática — aceleración en gráfica v-t",A
P41,Ciencias III (Química),Q.1,"Iones — definición",D
P42,Ciencias III (Química),Q.2,"Enlaces — iónico y covalente",C
P43,Ciencias III (Química),Q.3,"Materia — mezcla, compuesto, elemento",B
P44,Ciencias III (Química),Q.4,"Tabla periódica — elementos metálicos",D
P45,Ciencias III (Química),Q.5,"Cambios químicos — respiración",D
P46,Ciencias III (Química),Q.6,"Ácidos y bases",B
P47,Ciencias III (Química),Q.7,"Cambios de estado — condensación",A
P48,Ciencias III (Química),Q.8,"Tabla periódica — gases nobles",D
P49,Ciencias III (Química),Q.9,"Medicamentos — analgésico (aspirina)",D
P50,Ciencias III (Química),Q.10,"Medicamentos — antipirético",B
P51,Ciencias III (Química),Q.11,"Disolución — velocidad",B
P52,Ciencias III (Química),1.2.bank,"banco",D
P53,Ciencias I (Biología),B.1,"Nutrición",D
P54,Ciencias I (Biología),B.2,"Evolución",D
P55,Ciencias I (Biología),B.3,"Reproducción — vasectomía",B
P56,Ciencias I (Biología),B.4,"Salud — tabaquismo",A
P57,Ciencias I (Biología),B.5,"Reproducción — meiosis",C
P58,Ciencias I (Biología),B.6,"Reproducción asexual",C
P59,Ciencias I (Biología),B.7,"Sexualidad — potencialidades",C
P60,Ciencias I (Biología),B.8,"Cadena alimenticia — consumidor primario",C
P61,Ciencias I (Biología),B.9,"Cadena alimenticia — origen energético",D
P62,Ciencias I (Biología),B.10,"Cadena alimenticia — reino desintegradores",D
P63,Ciencias I (Biología),B.11,"Ecosistemas — fotosíntesis",C
P64,Ciencias I (Biología),1.1.bank,"banco",A
P65,Habilidad verbal,HV.1,"Tipos de relatos — mito",A
P66,Habilidad verbal,HV.2,"Tipos de relatos — leyenda",C
P67,Habilidad verbal,HV.3,"Tipos de texto — antología",D
P68,Habilidad verbal,HV.4,"Organizadores gráficos — cuadro sinóptico",C
P69,Habilidad verbal,HV.5,"Resumen — elementos",D
P70,Habilidad verbal,HV.6,"Léxico — antónimos",A
P71,Habilidad verbal,HV.7,"Léxico — sinónimos",D
P72,Habilidad verbal,HV.8,"Ideas — secundarias",C
P73,Habilidad verbal,HV.9,"Ideas — principal",B
P74,Habilidad verbal,HV.10,"Coherencia — párrafo ordenado",B
P75,Habilidad verbal,HV.11,"Analogías",A
P76,Habilidad verbal,HV.12,"Analogías — autor-obra",D
P77,Habilidad verbal,HV.13,"Idea principal en lectura corta",A
P78,Habilidad verbal,HV.14,"Hecho vs opinión",D
P79,Habilidad verbal,HV.15,"Analogías — taxonomía",C
P80,Habilidad verbal,1.2.bank,"banco",A
P81,Español,E.1,"Comprensión lectora — subrayado",C
P82,Español,E.2,"Ortografía — signos de puntuación",C
P83,Español,E.3,"Estrategias — publicidad",B
P84,Español,E.4,"Ortografía — paréntesis",D
P85,Español,E.5,"Gramática — conjugación",B
P86,Español,E.6,"Documentos oficiales",C
P87,Español,E.7,"Ortografía — la coma",A
P88,Español,E.8,"Comprensión lectora — fábula del leñador",B
P89,Español,E.9,"Comprensión lectora — moraleja",B
P90,Español,E.10,"Estructura del texto",C
P91,Español,1.1.bank,"banco",A
P92,Español,2.2.bank,"banco",D
P93,Historia Universal y de México,H.1,"Renacimiento — La Gioconda",C
P94,Historia Universal y de México,H.2,"Segunda Guerra Mundial — entrada de países",B
P95,Historia Universal y de México,H.3,"Guerra Fría",C
P96,Historia Universal y de México,H.4,"Corrientes historiográficas",C
P97,Historia Universal y de México,H.5,"Revolución Mexicana — presidentes",D
P98,Historia Universal y de México,H.6,"Descubrimientos — Vasco da Gama",D
P99,Historia Universal y de México,H.7,"Entreguerras — fascismo",A
P100,Historia Universal y de México,H.8,"México — modelos económicos",B
P101,Historia Universal y de México,H.9,"México — Maximato",C
P102,Historia Universal y de México,H.10,"Ilustración",A
P103,Historia Universal y de México,H.11,"Revolución Mexicana — cronología",C
P104,Historia Universal y de México,1.2.bank,"banco",A
P105,Geografía,G.1,"Coordenadas geográficas",D
P106,Geografía,G.2,"Ríos de México",D
P107,Geografía,G.3,"Interculturalidad",A
P108,Geografía,G.4,"Migraciones",A
P109,Geografía,G.5,"Escala de mapas — local",C
P110,Geografía,G.6,"Elementos del mapa",A
P111,Geografía,G.7,"Centros económicos mundiales",B
P112,Geografía,G.8,"Componentes del espacio geográfico",D
P113,Geografía,G.9,"Ciclo hidrológico",D
P114,Geografía,G.10,"Agua superficial",C
P115,Geografía,G.11,"Comprensión lectora — agua",D
P116,Geografía,1.1.bank,"banco",D
P117,Formación cívica y ética,FCE.1,"Libertad — valor",C
P118,Formación cívica y ética,FCE.2,"Moral — definición",C
P119,Formación cívica y ética,FCE.3,"Negociación",C
P120,Formación cívica y ética,FCE.4,"Libertad — límites",D
P121,Formación cívica y ética,FCE.5,"Libertad — naturaleza",C
P122,Formación cívica y ética,FCE.6,"Normas de convivencia",C
P123,Formación cívica y ética,FCE.7,"Libertad — convivencia",B
P124,Formación cívica y ética,FCE.8,"Normas jurídicas",D
P125,Formación cívica y ética,FCE.9,"Obligaciones gubernamentales",C
P126,Formación cívica y ética,FCE.10,"Derechos de los niños",C
P127,Formación cívica y ética,FCE.11,"Consensos",B
P128,Formación cívica y ética,FCE.12,"Partidos políticos — funciones",C
